school_name,voluntary_contributions_2015,subject_contributions_2015
Abbotsford Public School                                                                            ,"$50,007",$15
Aberdeen Public School                                                                              ,"$2,189",$289
Abermain Public School                                                                              ,$0,$0
Adaminaby Public School                                                                             ,$0,$0
Adamstown Public School                                                                             ,"$4,670",$0
Adelong Public School      ,$0,$0
Afterlee Public School     ,$0,$0
Airds High School,$0,"$11,217"
Ajuga School ,$450,$0
Albert Park Public School,$120,$0
Albion Park High School,"$11,548","$40,013"
Albion Park Public School ,"$3,835",$0
Albion Park Rail Public School,$785,$0
Albury High School    ,"$29,958","$44,627"
Albury North Public School ,"$1,440",$0
Albury Public School,"$12,437",$0
Albury West Public School  ,$0,$0
Aldavilla Public School  ,"$2,575","$1,765"
Alexandria Park Community School  ,"$11,046","$8,155"
Alfords Point Public School     ,"$4,716",$0
Allambie Heights Public School   ,"$17,105",$0
Alma Public School ,$0,$0
Alstonville High School    ,"$50,580","$39,667"
Alstonville Public School  ,"$8,700","$12,450"
Ambarvale High School     ,"$12,334","$23,814"
Ambarvale Public School,$0,$0
Anna Bay Public School ,"$4,190",$25
Annandale North Public School ,"$53,294","$107,672"
Annandale Public School,"$22,170","$21,408"
Annangrove Public School ,"$2,920",$0
Anson Street School ,$0,$0
Appin Public School  ,"$5,146",$0
Arcadia Public School,"$3,815","$5,128"
Arcadia Vale Public School,"$1,448",$0
Ardlethan Central School,$788,$995
Argenton Public School,$0,$0
Ariah Park Central School,"$2,535","$10,841"
Armidale City Public School,"$10,450",$0
Armidale High School,"$16,018","$36,759"
Arncliffe Public School,"$13,413",$0
Arncliffe West Infants School,"$1,440",$0
Arndell School,$0,$0
Arranounbai School,"$2,075","$7,351"
Artarmon Public School,$60,$194
Arthur Phillip High School,$0,"$92,587"
Ashbury Public School,"$12,042","$12,950"
Ashcroft High School,"$4,495","$13,162"
Ashcroft Public School,$0,$0
Ashfield Boys High School,"$15,647","$88,666"
Ashfield Public School,"$10,453","$6,570"
Ashford Central School,"$2,421","$4,274"
Ashmont Public School,$0,$0
Ashtonfield Public School,"$42,161",$0
Asquith Boys High School,"$43,262","$72,609"
Asquith Girls High School,"$60,485","$173,312"
Asquith Public School,"$15,973",$0
Athelstane Public School,"$7,185",$0
Attunga Public School,$0,$0
Auburn Girls High School,"$15,285","$18,546"
Auburn North Public School,"$9,338",$0
Auburn Public School,$0,$0
Auburn West Public School,"$5,754",$773
Aurora College,$0,$0
Austinmer Public School,"$11,932",$0
Austral Public School,"$3,310",$0
Australia Street Infants School,"$52,473","$24,725"
Avalon Public School ,"$60,771","$80,317"
Avoca Beach Public School ,"$12,691",$0
Avoca Public School ,$520,$0
Awaba Public School ,$200,$0
Badgerys Creek Public School ,$0,$0
Balarang Public School ,"$2,810","$11,355"
Bald Blair Public School ,"$1,900",$0
Bald Face Public School ,$0,"$31,386"
Balgowlah Heights Public School ,$0,"$203,294"
Balgowlah North Public School ,"$35,880","$57,992"
Balgownie Public School ,"$9,115",$0
Ballimore Public School ,$510,$0
Ballina High School ,"$10,183","$22,078"
Ballina Public School ,$470,$0
Balmain Public School ,$0,$0
Balranald Central School ,"$3,464","$2,465"
Bangalow Public School ,"$8,512",$0
Bangor Public School ,"$7,931",$0
Banks Public School ,$125,$0
Banksia Road Public School ,"$3,280",$0
Banksmeadow Public School ,"$3,495","$15,085"
Bankstown Girls High School ,"$24,265","$21,326"
Bankstown Hospital School ,$0,$0
Bankstown North Public School ,"$8,275",$0
Bankstown Public School ,"$5,565",$0
Bankstown Senior College ,"$30,234","$14,478"
Bankstown South Infants School ,"$3,444",$0
Bankstown West Public School ,"$8,655","$1,026"
Banora Point High School ,"$13,562","$19,303"
Banora Point Public School ,"$15,171",$0
Baradine Central School ,$977,"$2,130"
Bardwell Park Infants School ,"$2,000",$0
Barellan Central School ,$760,$0
Bargo Public School ,"$6,875",$0
Barham High School ,"$8,561","$13,285"
Barham Public School ,"$3,498",$0
Barkers Vale Public School ,$0,$0
Barmedman Public School ,$0,$0
Barnier Public School ,"$26,536",$0
Barnsley Public School ,"$4,320",$0
Barooga Public School ,$0,$0
Barraba Central School ,$630,"$2,250"
Barrack Heights Public School ,$785,$0
Barrenjoey High School ,"$24,690","$204,044"
Barrington Public School ,"$2,355",$0
Barwon Learning Centre ,$0,$0
Baryulgil Public School ,$0,$0
Bass High School ,"$4,375","$30,474"
Bass Hill Public School ,"$1,420","$1,750"
Bateau Bay Public School ,$0,$0
Batemans Bay High School ,"$11,097","$14,972"
Batemans Bay Public School ,"$1,369",$0
Bates Drive School ,"$6,118",$0
Bathurst Public School ,"$9,405","$9,788"
Bathurst South Public School ,$0,$0
Bathurst West Public School ,"$2,232",$0
Batlow Technology School ,"$1,920","$1,980"
Baulkham Hills High School ,"$310,317","$129,376"
Baulkham Hills North Public School ,"$84,165","$7,981"
Beacon Hill Public School ,"$49,662",$0
Beaumont Hills Public School ,"$38,977",$0
Beaumont Road Public School ,$0,$0
Beauty Point Public School ,"$48,573",$0
Beckom Public School ,$0,$0
Bedgerebong Public School ,$0,$0
Beechwood Public School ,"$2,330",$0
Beecroft Public School ,"$25,177","$86,406"
Beelbangera Public School ,"$1,775",$0
Bega High School ,"$27,344","$47,143"
Bega Valley Public School ,"$1,940",$0
Belair Public School ,"$10,266",$0
Bellambi Public School ,$0,$0
Bellata Public School ,$0,$0
Bellbird Public School ,"$1,010",$0
Bellbrook Public School ,$0,$0
Bellevue Hill Public School ,$0,"$171,143"
Bellingen High School ,"$8,034","$45,502"
Bellingen Public School ,"$9,556",$0
Belltrees Public School ,$240,$0
Belmont High School ,"$23,224","$69,390"
Belmont North Public School ,"$2,789",$0
Belmont Public School ,$0,$0
Belmore Boys High School ,"$4,458","$8,958"
Belmore North Public School ,"$11,179",$0
Belmore South Public School ,$0,"$15,130"
Belrose Public School ,"$4,336","$14,832"
Bemboka Public School ,$0,$0
Ben Lomond Public School ,$405,$0
Ben Venue Public School ,"$9,857",$0
Bendemeer Public School ,$460,$0
Bennett Road Public School ,"$2,409",$0
Berala Public School ,$0,$0
Beresfield Public School ,$0,"$5,436"
Beresford Road Public School ,"$7,202",$0
Berinba Public School ,$0,$0
Berkeley Public School ,$0,$0
Berkeley Vale Public School ,$0,"$52,395"
Berkeley West Public School ,$0,$0
Bermagui Public School ,"$1,850",$0
Berowra Public School ,"$26,528",$0
Berridale Public School ,$0,$0
Berrigan Public School ,"$1,195",$415
Berrima Public School ,"$3,566",$0
Berry Public School ,"$8,296",$318
Bert Oldfield Public School ,"$11,015",$45
Beverley Park School ,"$1,526","$4,438"
Beverly Hills Girls High School ,"$43,705","$87,610"
Beverly Hills Intensive English Centre ,"$2,840",$0
Beverly Hills North Public School ,"$11,246",$0
Beverly Hills Public School ,"$10,288",$0
Bexhill Public School ,"$5,809",$0
Bexley North Public School ,"$21,529","$22,436"
Bexley Public School ,"$3,995",$0
Bibbenluke Public School ,$0,$0
Biddabah Public School ,"$8,591",$0
Bidwill Public School ,$0,$0
Bigga Public School ,$0,$0
Bilambil Public School ,"$6,368","$11,480"
Bilgola Plateau Public School ,"$26,261","$27,164"
Billabong High School ,"$11,976","$23,392"
Bilpin Public School ,"$1,680",$0
Binalong Public School ,"$6,337",$0
Binda Public School ,$0,$0
Bingara Central School ,$0,"$2,140"
Binnaway Central School ,$220,"$1,699"
Binya Public School ,$540,$0
Biraban Public School ,"$1,055",$0
Birchgrove Public School ,"$10,775","$19,100"
Birrong Boys High School ,"$3,983","$8,809"
Birrong Girls High School ,"$38,360","$50,559"
Birrong Public School ,$0,$0
Black Hill Public School ,"$2,402",$0
Black Mountain Public School ,$0,$865
Black Springs Public School ,$255,$0
Blackalls Park Public School ,"$8,300",$0
Blackett Public School ,$0,$0
Blackheath Public School ,"$8,590",$0
Blacksmiths Public School ,"$2,270",$0
Blacktown Boys High School ,"$18,745","$23,882"
Blacktown Girls High School ,"$19,773","$52,946"
Blacktown North Public School ,"$10,710",$0
Blacktown South Public School ,"$18,675",$0
Blacktown West Public School ,"$15,119",$0
Blackville Public School ,$0,$0
Blackwell Public School ,$0,"$1,950"
Blairmount Public School ,$0,$0
Blakebrook Public School ,"$1,287","$1,201"
Blakehurst High School ,"$46,963","$85,336"
Blakehurst Public School ,"$2,855","$41,523"
Blandford Public School ,$0,$0
Blaxcell Street Public School ,"$3,011","$3,339"
Blaxland East Public School ,"$10,780",$0
Blaxland High School ,"$64,648","$125,915"
Blaxland Public School ,"$4,143",$0
Blayney High School ,"$11,408","$34,792"
Blayney Public School ,"$4,200",$0
Bletchington Public School ,"$14,311","$20,560"
Bligh Park Public School ,"$2,109",$0
Blighty Public School ,$0,$0
Blue Haven Public School ,$0,$0
Boambee Public School ,$0,$0
Bobin Public School ,$0,$0
Bobs Farm Public School ,"$1,112","$1,579"
